raw_label,normalized_key,match_type,candidates,doc_label,heading,page_start,row
Einzahlungen aus Abgängen Finanzanlagevermögen,einzahlungenausabgaengenfinanzanlagevermoegen,none,,,KONZERN-KAPITALFLUSSRECHNUNG für das Geschäftsjahr vom 1. Mai 2023 bis 30. April 2024,16,17
Auszahlungen für Investitionen in das Finanzanlagevermögen,auszahlungenfuerinvestitionenindasfinanzanlagevermoegen,none,,,KONZERN-KAPITALFLUSSRECHNUNG für das Geschäftsjahr vom 1. Mai 2023 bis 30. April 2024,16,18
Einzahlungen aus dem Abgang aus dem Konsolidierungskreis in Vorjahren,einzahlungenausdemabgangausdemkonsolidierungskreisinvorjahren,none,,,KONZERN-KAPITALFLUSSRECHNUNG für das Geschäftsjahr vom 1. Mai 2023 bis 30. April 2024,16,19
Erhaltene Gewinnausschüttungen von assoziierten Unternehmen,erhaltenegewinnausschuettungenvonassoziiertenunternehmen,none,,,KONZERN-KAPITALFLUSSRECHNUNG für das Geschäftsjahr vom 1. Mai 2023 bis 30. April 2024,16,20
Erhaltene Zinsen,erhaltenezinsen,none,,,KONZERN-KAPITALFLUSSRECHNUNG für das Geschäftsjahr vom 1. Mai 2023 bis 30. April 2024,16,21
Cashflow aus der Investitionstätigkeit,cashflowausderinvestitionstaetigkeit,none,,,KONZERN-KAPITALFLUSSRECHNUNG für das Geschäftsjahr vom 1. Mai 2023 bis 30. April 2024,16,22
Einzahlungen (+) / Auszahlungen (-) von / an Gesellschafter(n),einzahlungenauszahlungenvonangesellschaftern,none,,,KONZERN-KAPITALFLUSSRECHNUNG für das Geschäftsjahr vom 1. Mai 2023 bis 30. April 2024,16,23
Auszahlungen (-) / Einzahlungen (+) aus Finanzkrediten,auszahlungeneinzahlungenausfinanzkrediten,none,,,KONZERN-KAPITALFLUSSRECHNUNG für das Geschäftsjahr vom 1. Mai 2023 bis 30. April 2024,16,24
Gezahlte Zinsen,gezahltezinsen,none,,,KONZERN-KAPITALFLUSSRECHNUNG für das Geschäftsjahr vom 1. Mai 2023 bis 30. April 2024,16,25
Cashflow aus der Finanzierungstätigkeit,cashflowausderfinanzierungstaetigkeit,none,,,KONZERN-KAPITALFLUSSRECHNUNG für das Geschäftsjahr vom 1. Mai 2023 bis 30. April 2024,16,26
Zahlungswirksame Veränderungen des Finanzmittelfonds,zahlungswirksameveraenderungendesfinanzmittelfonds,none,,,KONZERN-KAPITALFLUSSRECHNUNG für das Geschäftsjahr vom 1. Mai 2023 bis 30. April 2024,16,27
Wechselkursbedingte Änderung des Finanzmittelfonds,wechselkursbedingteaenderungdesfinanzmittelfonds,none,,,KONZERN-KAPITALFLUSSRECHNUNG für das Geschäftsjahr vom 1. Mai 2023 bis 30. April 2024,16,28
Finanzmittelfonds am Anfang der Periode,finanzmittelfondsamanfangderperiode,none,,,KONZERN-KAPITALFLUSSRECHNUNG für das Geschäftsjahr vom 1. Mai 2023 bis 30. April 2024,16,29
Finanzmittelfonds am Ende der Periode,finanzmittelfondsamendederperiode,none,,,KONZERN-KAPITALFLUSSRECHNUNG für das Geschäftsjahr vom 1. Mai 2023 bis 30. April 2024,16,30
davon:,davon,none,,,KONZERN-KAPITALFLUSSRECHNUNG für das Geschäftsjahr vom 1. Mai 2023 bis 30. April 2024,16,31
"Kassenbestand, Guthaben bei Kreditinstituten",kassenbestandguthabenbeikreditinstituten,none,,,KONZERN-KAPITALFLUSSRECHNUNG für das Geschäftsjahr vom 1. Mai 2023 bis 30. April 2024,16,32
in die Finanzdisposition einbezogene kurzfristige Finanzkredite,indiefinanzdispositioneinbezogenekurzfristigefinanzkredite,none,,,KONZERN-KAPITALFLUSSRECHNUNG für das Geschäftsjahr vom 1. Mai 2023 bis 30. April 2024,16,33
"Nicht zahlungswirksame Aufwendungen (+) / Erträge (-), Zunahme (+) bzw. Abnahme (-) der Rückstellungen, sonstige nicht der laufenden Geschäftstätigkeit zuzu-
ordnende Aufwendungen (+) und Erträge (-)",nichtzahlungswirksameaufwendungenertraegezunahmebzwabnahmederrueckstellungensonstigenichtderlaufendengeschaeftstaetigkeitzuzuordnendeaufwendungenundertraege,none,,,3.3. Finanzlage,22,4
Zunahme (-) / Abnahme (+) Nettoumlaufvermögen,zunahmeabnahmenettoumlaufvermoegen,none,,,3.3. Finanzlage,22,5
Mittelzufluss / -abfluss aus der laufenden Geschäftstätigkeit,mittelzuflussabflussausderlaufendengeschaeftstaetigkeit,none,,,3.3. Finanzlage,22,7
Mittelabfluss / -zufluss aus der Investitionstätigkeit,mittelabflusszuflussausderinvestitionstaetigkeit,none,,,3.3. Finanzlage,22,8
Mittelabfluss aus der Finanzierungstätigkeit,mittelabflussausderfinanzierungstaetigkeit,none,,,3.3. Finanzlage,22,9
Zahlungswirksame Veränderung des Finanzmittelbestandes,zahlungswirksameveraenderungdesfinanzmittelbestandes,none,,,3.3. Finanzlage,22,10
Finanzmittelbestand am Anfang der Periode,finanzmittelbestandamanfangderperiode,none,,,3.3. Finanzlage,22,11
+/- Währungsdifferenzen Finanzmittelbestand,waehrungsdifferenzenfinanzmittelbestand,none,,,3.3. Finanzlage,22,12
Finanzmittelbestand am Ende der Periode,finanzmittelbestandamendederperiode,none,,,3.3. Finanzlage,22,13
Flüssige Mittel,fluessigemittel,none,,,3.3. Finanzlage,22,15
Kurzfristige Finanzkredite (Kontokorrentverbindlichkeiten),kurzfristigefinanzkreditekontokorrentverbindlichkeiten,none,,,3.3. Finanzlage,22,16
Geschäfts- oder Firmenwert,geschaeftsoderfirmenwert,unsupported_framework,,,Konzernbilanz zum 31. Dezember 2025,11,2
Sonstige immaterielle Vermögenswerte,sonstigeimmateriellevermoegenswerte,unsupported_framework,,,Konzernbilanz zum 31. Dezember 2025,11,3
Sachanlagen,sachanlagen,unsupported_framework,,,Konzernbilanz zum 31. Dezember 2025,11,4
Sonstige finanzielle Vermögenswerte,sonstigefinanziellevermoegenswerte,unsupported_framework,,,Konzernbilanz zum 31. Dezember 2025,11,5
Finanzforderungen gegen verbundene Unternehmen,finanzforderungengegenverbundeneunternehmen,unsupported_framework,,,Konzernbilanz zum 31. Dezember 2025,11,6
Sonstige Vermögenswerte,sonstigevermoegenswerte,unsupported_framework,,,Konzernbilanz zum 31. Dezember 2025,11,7
Latente Steuern,latentesteuern,unsupported_framework,,,Konzernbilanz zum 31. Dezember 2025,11,8
Langfristige Vermögenswerte,langfristigevermoegenswerte,unsupported_framework,,,Konzernbilanz zum 31. Dezember 2025,11,9
Vorräte,vorraete,unsupported_framework,,,Konzernbilanz zum 31. Dezember 2025,11,10
Forderungen aus Lieferungen und Leistungen,forderungenauslieferungenundleistungen,unsupported_framework,,,Konzernbilanz zum 31. Dezember 2025,11,11
Ertragsteuerforderung,ertragsteuerforderung,unsupported_framework,,,Konzernbilanz zum 31. Dezember 2025,11,12
Sonstige Forderungen und Vermögenswerte,sonstigeforderungenundvermoegenswerte,unsupported_framework,,,Konzernbilanz zum 31. Dezember 2025,11,14
Zahlungsmittel und Zahlungsmitteläquivalente,zahlungsmittelundzahlungsmittelaequivalente,unsupported_framework,,,Konzernbilanz zum 31. Dezember 2025,11,15
Kurzfristige Vermögenswerte,kurzfristigevermoegenswerte,unsupported_framework,,,Konzernbilanz zum 31. Dezember 2025,11,16
Passiva,passiva,unsupported_framework,,,Konzernbilanz zum 31. Dezember 2025,11,18
Gezeichnetes Kapital,gezeichneteskapital,unsupported_framework,,,Konzernbilanz zum 31. Dezember 2025,11,20
Kapitalrücklage,kapitalruecklage,unsupported_framework,,,Konzernbilanz zum 31. Dezember 2025,11,21
Verlustvortrag und Periodenergebnis,verlustvortragundperiodenergebnis,unsupported_framework,,,Konzernbilanz zum 31. Dezember 2025,11,22
Kumuliertes sonstiges Ergebnis,kumuliertessonstigesergebnis,unsupported_framework,,,Konzernbilanz zum 31. Dezember 2025,11,23
Den Gesellschaftern des Mutterunternehmens zurechenbarer Anteil am Eigenkapital,dengesellschafterndesmutterunternehmenszurechenbareranteilameigenkapital,unsupported_framework,,,Konzernbilanz zum 31. Dezember 2025,11,24
Nicht beherrschende Gesellschafter,nichtbeherrschendegesellschafter,unsupported_framework,,,Konzernbilanz zum 31. Dezember 2025,11,25
Rückstellungen für Pensionsverpflichtungen,rueckstellungenfuerpensionsverpflichtungen,unsupported_framework,,,Konzernbilanz zum 31. Dezember 2025,11,27
